day,strike,IV_mean,IV_std,IV_min,IV_max,fitted_IV,IV_vs_fit,delta_mean,gamma_mean,vega_mean,misprice_mean,n_samples
0,4000,0.12228,0.00861,0.11365,0.13269,0.12353,-0.00125,0.9918,3.7e-05,110.4047,-1.552,5
0,4500,0.07765,0.00615,0.06774,0.08627,0.07225,0.00539,0.9862,9.3e-05,165.4555,-1.149,13
0,5000,0.03809,0.00172,0.03521,0.04237,0.04325,-0.00517,0.9204,0.00081,708.1113,-4.307,119
0,5100,0.03856,0.002,0.0352,0.04205,0.04013,-0.00156,0.7921,0.001554,1368.1253,-2.419,62
0,5200,0.03787,0.00193,0.03454,0.04113,0.03789,-2e-05,0.6054,0.002131,1831.8161,-0.258,57
0,5300,0.03796,0.00188,0.03556,0.04141,0.03654,0.00141,0.3846,0.002108,1819.6913,2.363,35
0,5400,0.03613,0.00104,0.03518,0.0388,0.03609,4e-05,0.1926,0.001585,1303.3298,-0.033,64
0,5500,0.03875,0.00197,0.0357,0.04316,0.03653,0.00223,0.0957,0.000916,811.7082,1.594,61
1,4000,0.18607,0.03129,0.14804,0.2241,0.19314,-0.00707,0.9846,5.5e-05,139.1593,-5.639,6
1,4500,0.10458,0.01641,0.08352,0.138,0.09902,0.00556,0.9848,9.7e-05,134.8364,-1.915,11
1,5000,0.04588,0.00349,0.04009,0.05684,0.05041,-0.00453,0.9353,0.000744,467.3254,-2.762,281
1,5100,0.04573,0.00368,0.0416,0.0526,0.04615,-0.00042,0.8086,0.001624,1002.3813,-1.035,32
1,5200,0.04661,0.00377,0.04172,0.05334,0.04371,0.00291,0.6196,0.002215,1403.5747,3.493,32
1,5300,0.04748,0.00457,0.04152,0.05611,0.04309,0.00439,0.3835,0.002198,1402.5162,5.481,34
1,5400,0.04393,0.00319,0.03896,0.05026,0.04428,-0.00036,0.1817,0.001635,969.1358,-0.772,65
1,5500,0.04775,0.00335,0.04292,0.05507,0.0473,0.00045,0.0854,0.000888,575.704,-0.091,92
2,4000,0.46619,0.12942,0.37467,0.5577,0.4574,0.00878,0.988,4.6e-05,40.4641,-34.487,2
2,4500,0.23631,0.12912,0.12851,0.43097,0.18972,0.04659,0.9853,9.6e-05,70.1357,-5.396,7
2,5000,0.09007,0.04123,0.05536,0.22398,0.06788,0.02218,0.9509,0.000641,205.7194,0.431,59
2,5100,0.10258,0.08161,0.05151,0.39741,0.06102,0.04156,0.8577,0.001471,453.8028,3.591,33
2,5200,0.09163,0.0514,0.0537,0.24777,0.05998,0.03164,0.6477,0.002358,764.2637,10.823,33
2,5300,0.12238,0.14105,0.05614,0.77928,0.06478,0.0576,0.4057,0.002427,769.7052,11.311,35
2,5400,0.09141,0.05529,0.05086,0.33936,0.07542,0.01599,0.175,0.001727,517.8599,-3.401,94
2,5500,0.11026,0.14717,0.05619,1.12611,0.09188,0.01837,0.072,0.000839,280.5354,-6.939,59
